year,region,wine,beer,vodka,champagne,brandy,cartodb_id,birth_rate,death_rate,urbanization,population
2000,Краснодарский край,7.0,42.6,8.7,1.4,0.3,39,8.9,15.2,53.71,5683.95
2000,Красноярский край,4.7,40.5,14.9,1.6,0.3,69,9.3,14.8,75.11,2855.9
2000,Курганская область,2.9,26.6,13.0,0.6,0.1,1,9.6,16.3,56.21,818.57
2000,Курская область,1.6,33.0,6.1,0.5,0.1,5,8.2,18.6,60.51,1096.49
2000,Ленинградская область,3.8,37.7,14.7,1.3,0.3,46,6.7,18.8,66.31,5384.34
2000,Липецкая область,2.3,31.9,9.3,0.7,0.2,6,7.8,16.5,63.98,1128.19
2000,Магаданская область,4.3,24.6,23.9,1.8,0.2,7,9.7,11.8,90.79,139.03
2000,Москва,6.3,61.8,18.8,3.9,0.6,42,7.3,13.1,100.0,12655.05
2000,Московская область,3.1,22.6,17.2,0.6,0.3,23,7.2,17.0,79.5,7708.5
2000,Мурманская область,4.4,29.9,18.8,1.7,0.6,43,8.6,11.6,92.22,732.86
2000,Ненецкий автономный округ,5.5,29.3,19.2,0.9,0.5,3,13.2,12.9,62.15,44.39
2000,Нижний Новгород,3.9,27.3,9.7,1.0,0.1,62,7.7,18.1,77.86,3176.55
2000,Новгородская область,4.6,39.8,12.8,0.4,0.2,4,7.5,20.1,69.52,592.42
2000,Новосибирская область,2.6,37.3,20.7,1.6,0.2,19,8.5,14.2,74.63,2785.84
2000,Омская область,4.6,41.5,10.3,0.6,0.3,21,8.6,13.5,68.19,1903.68
2000,Оренбургская область,1.6,31.5,9.5,0.7,0.1,30,9.7,14.4,57.54,1942.92
2000,Орловская область,3.2,31.1,14.8,1.2,0.4,51,7.9,17.7,63.0,724.69
2000,Пензенская область,1.8,27.0,6.4,0.3,0.1,28,7.5,17.0,64.6,1290.9
2000,Пермский край,4.1,30.7,20.0,1.3,0.3,56,9.7,16.2,75.6,2579.26
2000,Прриморский край,1.8,25.1,15.0,0.6,0.2,12,8.6,13.9,77.71,1877.84
2000,Псковская область,7.1,22.0,12.9,0.5,0.1,44,7.4,22.3,65.38,620.25
2000,Республика Алтай,5.4,12.1,9.8,0.7,0.1,77,14.3,13.0,25.76,220.95
2000,Республика Калмыкия,3.2,9.1,14.2,0.9,0.1,38,11.3,11.2,41.37,269.98
2000,Республика Карелия,2.8,24.9,17.2,0.4,0.2,83,8.7,16.5,74.26,609.07
2000,Республика Коми,4.6,35.1,27.4,1.9,0.4,25,9.4,12.9,75.46,813.59
2000,Республика Крым,9.5,17.6,2,1.7,0.14,200,8.5,14.4,55.5,1901.58
2000,Республика Мари Эл,1.8,21.0,8.3,0.3,0.1,60,9.1,14.9,63.09,675.33
2000,Республика Мордовия,1.4,15.9,10.9,0.3,0.1,48,7.8,16.2,59.35,778.97
2000,Республика Саха (Якутия),2.6,15.4,15.2,0.6,0.2,67,13.7,9.7,64.0,981.97
2000,Республика Татарстан,1.3,33.4,14.8,0.4,0.1,50,9.4,13.1,73.59,3894.12
2000,Республика Хакасия,3.0,47.9,17.0,1.4,0.6,75,10.1,14.6,70.95,532.04
2000,Ростовская область,5.5,30.0,7.9,2.2,0.2,40,8.0,15.2,67.61,4181.49
2000,Рязанская область,2.1,32.2,13.3,1.2,0.1,74,7.0,19.3,68.24,1098.26
2000,Самарская область,2.1,29.4,7.6,1.5,0.2,31,7.9,16.4,80.53,3154.16
2000,Санкт-Петербург,4.4,68.2,14.7,2.0,0.9,46,6.8,16.2,100.0,1892.71
2000,Саратовская область,2.0,22.1,7.4,1.3,0.2,41,8.1,16.4,73.23,2395.11
2000,Сахалин,2.6,21.8,18.8,0.5,0.1,11,9.2,13.4,86.49,485.62
2000,Свердловская область,4.0,42.5,13.6,1.0,0.4,72,8.4,16.6,87.74,4290.07
2000,Севастополь,1.4,11.1,3.2,2.1,0.1,100,8.8,15.5,88.8,509.99
2000,Северная Осетия,2.6,19.9,9.8,1.3,0.1,35,10.3,12.3,66.79,693.1
2000,Смоленская область,4.9,55.3,21.2,0.8,0.2,58,7.0,20.0,70.24,921.13
2000,Ставропольскиий край,6.4,25.9,13.7,1.1,0.3,15,9.0,13.6,55.9,2305.61
2000,Тамбовская область,2.1,22.5,11.6,1.1,0.2,73,8.0,19.0,57.13,994.42
2000,Тверская область,4.0,33.7,17.1,0.7,0.3,54,7.5,21.6,72.6,1245.62
2000,Томская область,5.3,32.0,14.8,0.8,0.1,18,9.5,13.2,67.06,1070.34
2000,Тульская область,2.7,36.4,13.2,0.6,0.1,65,6.8,21.0,81.32,1449.12
2000,Тыва,1.6,24.4,11.3,0.1,0.4,76,15.9,13.6,49.8,330.37
2000,Тюменская область,4.6,36.9,18.0,0.8,0.3,20,10.6,9.3,76.86,1543.39
2000,Удмуртия,1.5,20.1,13.4,0.3,0.1,59,10.2,13.7,69.56,1493.36
2000,Ульяновская область,0.8,46.1,10.5,0.4,0.1,63,8.1,15.6,72.88,1218.32
2000,Хабаровскиий край,4.2,31.9,15.3,0.7,0.4,79,8.5,14.1,80.59,1301.13
2000,Ханты-Мансийский автономный округ,4.6,36.9,18.0,0.8,0.3,71,11.4,6.9,91.09,1687.65
2000,Чевашская республика,2.9,29.8,9.6,0.5,0.1,49,9.3,14.0,60.2,1207.88
2000,Челябинская область,4.3,46.3,15.7,1.0,0.2,24,8.9,15.5,81.5,3442.81
2000,Чечня,2,22.2,3,0.2,0.3,32,7.8,11.3,35.7,1497.99
2000,Чукотка,1.0,5.2,6.5,1.7,0.2,68,11.5,9.6,66.96,49.53
2000,Ямало-Ненецкий автономный округ,4.6,36.9,18.0,0.8,0.3,70,11.7,5.6,83.3,547.01
2000,Ярославская область,3.5,57.1,18.3,1.5,0.3,66,7.3,18.0,80.44,1241.42
2001,Адыгея,3.8,22.0,7.8,0.5,0.1,37,9.4,14.7,52.79,463.17
2001,Алтайский край,2.3,39.5,12.0,1.4,0.1,17,9.6,14.7,52.8,2296.35
2001,Амурская область,2.6,31.2,17.6,0.6,0.2,81,10.9,15.2,66.63,781.85
2001,Архангельская область,7.0,47.6,23.5,1.2,0.9,2,9.6,16.2,74.92,1082.66
2001,Астраханская область,3.8,42.6,11.9,0.8,0.1,33,10.5,14.6,67.93,997.78
2001,Башкортостан,1.2,34.9,10.9,0.3,0.1,61,10.4,13.4,64.07,4013.79
2001,Белгородская область,3.4,23.2,9.5,0.8,0.1,26,8.2,16.1,65.17,1541.26
2001,Брянская область,2.7,41.6,8.0,0.4,0.1,27,7.9,17.9,68.6,1182.68
2001,Бурятия,1.7,11.7,18.7,0.6,0.1,10,11.8,14.0,59.83,985.43
2001,Владимирская область,2.4,28.5,15.3,0.6,0.1,22,8.1,19.7,79.8,1342.1
2001,Волгоградская область,2.1,42.5,11.9,1.8,0.3,29,8.5,15.6,74.93,2474.56
2001,Вологодская область,7.8,50.5,23.0,0.5,0.3,55,9.4,17.4,68.76,1151.04
2001,Воронежская область,3.6,37.7,9.2,1.5,0.2,15,7.7,18.3,61.58,2792.8
2001,Дагестан,4.6,3.3,1.8,0.4,0.1,14,15.3,6.1,42.42,3133.3
2001,Еврейская автономная область,5.1,17.8,12.0,0.4,0.1,80,10.8,14.7,67.04,156.5
2001,Забайкальский край,3.5,23.8,8.6,0.4,0.1,9,12.5,15.3,63.65,1053.49
